policy,seed,condition,detectedAt,missed,detectionRate,handoffAt,handoffRate,meanCappedS,rmseM,custodyPct,postTowerSamples,postTowerCustodySamples,falseConfirmations
"untrained","591944","clear","20","false","100","85","100","20","15.40654426142629","67.21311475409836","0","0","0"
"untrained","591945","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591946","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591947","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591948","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591949","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591950","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591951","haze",,"true","0",,"0","300","2568.8341745415387","0","0","0","1"
"untrained","591952","haze","110","false","100","160","100","110","39.36310278614997","9.836065573770492","0","0","0"
"untrained","591953","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591954","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591955","glare","5","false","100","80","100","5","36.062604003341924","47.540983606557376","0","0","0"
"untrained","591956","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591957","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591958","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591959","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591960","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591961","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591962","glare","110","false","100","225","100","110","35.03047720247167","22.950819672131146","0","0","0"
"untrained","591963","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591964","glare","190","false","100","215","100","190","18.64506840187837","29.508196721311474","0","0","0"
"untrained","591965","haze","5","false","100","65","100","5","13.751667856771286","63.934426229508205","0","0","0"
"untrained","591966","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591967","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591968","clear","150","false","100","210","100","150","19.607461426339345","31.147540983606557","15","15","0"
"untrained","591969","haze","5","false","100","60","100","5","13.407956570579703","68.85245901639344","0","0","0"
"untrained","591970","glare","20","false","100",,"0","20","175.1682348312548","0","45","0","0"
"untrained","591971","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591972","haze","295","false","100",,"0","295","377.81741479824007","0","0","0","1"
"untrained","591973","clear","55","false","100","75","100","55","13.947967335474873","70.49180327868852","0","0","0"
"untrained","591974","haze","65","false","100","105","100","65","15.870086761127679","59.01639344262295","0","0","0"
"untrained","591975","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591976","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591977","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591978","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591979","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591980","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591981","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591982","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591983","clear","40","false","100","90","100","40","14.8885030065603","59.01639344262295","0","0","0"
"untrained","591984","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591985","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591986","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591987","glare","105","false","100","245","100","105","55.692307756905954","14.754098360655737","0","0","0"
"untrained","591988","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591989","glare","35","false","100","80","100","35","36.15924308794853","50.81967213114754","0","0","0"
"untrained","591990","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591991","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591992","glare",,"true","0",,"0","300","5623.3013133691065","0","0","0","1"
"untrained","591993","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591994","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591995","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591996","clear",,"true","0",,"0","300",,"0","0","0","0"
